1000 Hills Distillery,Rwanda,1,5,40.67
10th Mountain,United States,4,0,0
10th Street Distillery,United States,9,8,85.96
12.05 Distillery,United States,7,0,0
1769 Distillery Inc.,Canada,3,4,80.33
18th Street Distillery,United States,5,0,0
2bar Spirits,United States,4,7,71.5
3 Badge Beverage,United States,14,107,81.68
3 Howls,United States,4,4,90.67
45th Parallel,United States,5,0,0
52eighty Distilling,United States,2,0,0
5Nines,Australia,8,0,0
66 Gilead Distillery,Canada,2,3,81
7K Distillery,Australia,4,0,0
A. Smith Bowman,United States,36,116,83.95
Abbeyhill Distillery,Scotland,0,0,0
Aber Falls Whisky Distillery,United Kingdom,1,4,86.5
Aberargie Distillery,Scotland,0,0,0
Aberfeldy,Scotland,428,6261,83.78
Aberlour,Scotland,1133,22993,84.92
Abhainn Dearg,Scotland,38,392,66.66
Acha,Spain,1,7,79.8
Achill Island Distillery,Ireland,0,0,0
Acre Distilling,United States,3,0,0
Ad Gefrin Distillery,United Kingdom,0,0,0
Adams Distillery,Australia,37,4,81.75
Adelaide Hills,Australia,4,2,82
Adirondack Distilling Co.,United States,3,0,0
Adnams,United Kingdom,15,105,74.06
Aecht Schlenkerla,Germany,0,2,61
ÆppelTreow,United States,1,0,0
Ærø Whisky,Denmark,11,6,85.89
Agárdi Pálinkafőzde,Hungary,2,7,73.88
Agder Brenneri,Norway,3,27,62.78
AGITATOR WHISKYMAKARE,Sweden,1,0,0
Aichinger,Austria,5,51,76.59
Ailsa Bay,Scotland,22,775,80.67
Aioi Unibio Co. Ltd.,Japan,5,28,75.68
Akkeshi Distillery,Japan,12,128,85.26
Alaska Distillery,United States,1,1,55
Albany Distilling,United States,4,2,70
Alberta Distillers Ltd.,Canada,57,399,83.66
Albyn Distillery,Scotland,0,0,0
Alchemy Distillery,United States,5,0,0
Alde Gott,Germany,4,14,81.35
Alex Clark Spirits,United States,2,1,83
All Points West,United States,1,0,0
Alley 6 Craft Distillery,United States,2,0,0
Allgäu-Brennerei Günther GmbH,Germany,5,20,70.45
Allt-a-Bhainne,Scotland,384,2921,84.14
Alltech Carlow Distillery,Ireland,0,0,0
Alpenwhisky-Destillerie,Austria,13,10,81.5
Alpirsbacher Klosterbräu,Germany,2,7,83
Alt Enderle,Germany,18,65,83.52
Alte Brennerei,Switzerland,1,1,72
Alte Hausbrennerei A. Wecklein,Germany,6,3,66.75
Altenburger Destillerie & Liqueurfabrik,Germany,0,2,72.5
Altore,France,3,7,65.88
Amador Distillery,United States,4,4,85
American Fifth Spirits,United States,2,1,70
American Freedom Distillery,United States,7,0,0
Amrut,India,481,9033,84.7
Anchor Distilling Company,United States,30,146,84.33
Andalusia Whiskey Co.,United States,4,1,45
Anglesey Môn Distillery,United Kingdom,2,0,0
Annandale Distillery,Scotland,64,580,83.04
ANNO 1940,Austria,1,1,89
Anno Distillers Ltd.,United Kingdom,2,0,0
Appalachian Distillery,United States,3,0,0
Applewood,Australia,1,1,62
Arbikie,Scotland,6,15,83.4
Arbutus Distillery,Canada,1,1,75
Archie Rose Distilling Co.,Australia,13,17,83.2
Arcola Distillery,United States,1,1,82
Arcus,Norway,6,40,79.36
Ardbeg,Scotland,2126,77692,88.12
Ardenistile,Scotland,0,0,0
Ardgowan Distillery,Scotland,0,1,82
Ardlussa Distillery,Scotland,0,0,0
Ardmore,Scotland,1337,13398,85.11
Ardnahoe Distillery,Scotland,0,0,0
Ardnamurchan,Scotland,46,1453,84.12
Argyll Distillery,Scotland,0,0,0
Arilds Vingård,Sweden,0,0,0
Arizona Distilling Co.,United States,6,1,76
Arizona High Spirits Distillery,United States,2,1,72
Armagnac Veuve Goudoulin,France,1,3,88
Arnsteiner Brauerei,Germany,1,0,0
Arran,Scotland,2022,31681,85.15
Artist in Residence Distillerie,Canada,1,0,0
Asaka,Japan,13,12,85.83
Ascendant Spirits,United States,7,1,86
Asheville Distilling Co.,United States,5,5,85.5
Astidama,Indonesia,3,11,73.36
ASW Distillery,United States,5,2,78.5
Auchentoshan,Scotland,1108,13360,83.82
Auchnagie,Scotland,2,4,83
Auchroisk,Scotland,600,4696,84.56
Augustus Rex,Germany,5,3,73.5
Aultmore,Scotland,789,6481,85.11
Aurora Spirit,Norway,6,105,79.34
Authentic Seacoast Distilling Co. Ltd.,Canada,4,4,79.25
Avadis Distillery,Germany,23,53,70.15
Axe and the Oak Distillery,United States,3,0,0
Az-Granata,Azerbaijan,2,0,0
bachgau-Destille,Germany,15,15,67.52
Backwoods Craft Spirits,United States,4,0,0
Backwoods Distilling Co.,Australia,12,3,80
Bad Dog Distillery,United States,1,1,60
Bad Kötztinger Bärwurz-Quelle,Germany,5,20,86.2
Badachro Distillery,Scotland,1,3,88.33
Badmils Black Distillery,Austria,3,1,84
Bainbridge,United States,5,3,86.25
Baker Williams Distillery,Australia,3,2,88
Bakery Hill Distillery,Australia,25,87,84.17
Balblair,Scotland,571,9024,85.81
Balcones Distilling,United States,150,1261,82.48
Ballindalloch,Scotland,0,24,90.77
Ballykeefe Distillery,Ireland,7,1,84
Balmenach,Scotland,508,3063,85.11
Baltimore Spirits Company,United States,3,5,77.89
Balvenie,Scotland,3116,23368,86.33
Bandon Distillery,Ireland,1,0,0
Banff,Scotland,163,2652,88.05
Bankhall,United Kingdom,1,0,0
Baoilleach Distillery,Ireland,3,0,0
Bardstown Bourbon Company,United States,21,32,88.09
Baronie Distillers,Netherlands,1,2,76.5
Barrel House Distillery,United States,3,0,0
Barton 1792 Distillery,United States,102,340,84.63
Basilico France,France,4,4,77
Basque Moonshiners,Spain,4,27,78.64
Batch 206 Distillery,United States,3,0,0
Bay Area Distilling Co.,United States,2,0,0
Bear Wallow Distillery,United States,5,0,0
Békési Manufaktúra,Hungary,7,21,64.68
Belgrove Distillery,Australia,37,29,87.25
Belle Isle Craft Spirits,United States,2,0,0
Bellerhof-Brennerei,Germany,17,14,71.63
Belmont Distillery,United States,1,0,0
Belmont Farm Distillery,United States,16,23,82.66
Ben Milam Whiskey Distillery,United States,0,0,0
Ben Nevis,Scotland,1408,28340,86.57
Ben Wyvis,Scotland,17,285,89.4
Ben Wyvis / Ferintosh,Scotland,2,2,92
Benachie Distillery,Scotland,2,0,0
Bendistillery,United States,11,12,78
Bendt Distilling Co.,United States,4,11,87.2
Benmore Distillery,Scotland,0,0,0
BenRiach,Scotland,1622,34087,85.98
Benrinnes,Scotland,1158,11452,85.4
Benromach,Scotland,459,11747,85.8
Bent Brewstillery,United States,3,0,0
Bergslagens Destilleri,Sweden,1,1,64
Bergwelt Brennerei,Germany,1,0,0
Berkshire Mountain Distillers,United States,6,2,82
Bernheim,United States,36,264,85.17
Bertrand,France,27,60,79.67
Betz Manufaktur,Germany,1,0,0
BFLO Distilling Company,United States,3,0,0
Bierbrouwerij Mommeriete,Netherlands,0,0,0
Bierbrouwerij Sint Servattumus,Netherlands,0,0,0
Bierbrouwerij Volendam,Netherlands,0,0,0
Bières Michard,France,2,6,78.67
Bieri Brennerei Bauernhof,Switzerland,12,20,79.42
Big Bottom Distilling,United States,17,16,81.94
Bimber Distillery,United Kingdom,131,1310,86.09
Biolandhof Köhler,Germany,1,0,0
BioSpirits,Netherlands,5,13,47.52
Birgitta Rust - Piekfeine Brände,Germany,18,48,74.35
Birkenhof Brennerei,Germany,4,1,83
Birkenhof-Brennerei GmbH,Germany,39,80,78.52
Bishop's Water Distillery,Ireland,0,0,0
Black Bear Distillery,United States,1,0,0
Black Bridge Distillery,United Kingdom,5,0,0
Black Button Distilling,United States,9,0,0
Black Canyon Distillery,United States,1,0,0
Black Dirt Distillery,United States,19,2,82
Black Draft Distillery,United States,3,0,0
Black Gate Distillery,Australia,26,16,85.23
Black Heron Spirits,United States,2,0,0
Black Velvet Distillery,Canada,33,127,71.79
Blackfish Spirits Distillery,United States,4,0,0
Blackmoon,Switzerland,1,1,90
Blacks Brewery & Distillery,Ireland,0,2,82.5
Black's Distillery,Canada,2,0,0
Blackwater Distillery,Ireland,2,3,88
Bladnoch,Scotland,877,6937,85.02
Blair Athol,Scotland,828,10042,85.54
Blaue Maus,Germany,112,149,70.99
Blaum Bros. Distilling Co.,United States,7,6,86
Blinking Owl,United States,3,0,0
Blue Monkey Brewery,United Kingdom,5,2,79.5
Blue Ridge Distilling Co.,United States,3,15,68.13
Blue Sky Distillery,United States,1,0,0
Blue Spirits Distilling,United States,4,0,0
Bluegrass Distillers,United States,1,0,0
Boann Distillery,Ireland,0,67,84.48
Böckl,Austria,4,3,69
Bogner,Austria,1,1,66
Bolanachi,Egypt,4,18,28.63
Bold’s Schnapsideen,Germany,0,0,0
Boldizar Obstbrand GmbH,Germany,4,5,75.63
Bollnäs Bryggeri & Bränneri,Sweden,0,0,0
Bone Spirits,United States,2,0,0
Boone County Distilling Co.,United States,12,4,81.75
Boplaas,South Africa,5,17,81.52
Bosch-Edelbrand,Germany,12,26,75.21
Bossche Stokers V.O.F.,Netherlands,5,0,0
Boston Harbor Distillery,United States,4,1,60
Böttchehof,Germany,2,9,77.29
Bouck Brothers Distilling,United States,4,0,0
Bow Street (John Jameson) Distillery,Ireland,68,247,84.72
Bowmore,Scotland,3367,68392,86.94
Bows Distillerie,France,3,1,83
Box,Sweden,333,970,84.81
Braeckman Distillery,Belgium,14,176,85.97
Brænderiet Limfjorden,Denmark,5,13,85.58
Braeval,Scotland,449,2908,85.06
Brain Brew Distillery at the Eureka! Ranch,United States,8,0,0
Brandhaus7,Germany,2,0,0
Branger,Austria,1,1,79
Brauerei Aare Bier / Old River,Switzerland,3,12,73.29
Brauerei Baumgartner Tiroler Bier,Austria,2,1,78
Brauerei Egg,Austria,1,0,0
Brauerei Falken AG,Switzerland,10,16,79.95
Brauerei Locher,Switzerland,255,1849,83.08
Brauerei Monstein,Switzerland,23,19,70.21
Brauerei Rotingdorf,Germany,0,0,0
Brauerei Unser Bier,Switzerland,0,0,0
Brauerei Westheim GmbH,Germany,0,0,0
Braugasthof Papiermühle,Germany,10,7,76.67
Braunstein,Denmark,81,298,82.6
Breckenridge Distillery,United States,19,37,83.59
Brenne,France,5,43,67.23
Brennerei & Mosterei Stadelmann,Switzerland,22,27,78.43
Brennerei am Feuergraben,Germany,1,1,81
Brennerei Aubele,Germany,0,0,0
Brennerei Bayer,Germany,1,1,75
Brennerei Brehmer-Knauer,Germany,1,0,0
Brennerei Bühler,Germany,2,0,0
Brennerei Druffel,Germany,8,11,75.53
Brennerei E. & R. Brasch,Germany,3,1,65
Brennerei Ehringhausen,Germany,2,2,83
Brennerei Eiger,Switzerland,1,1,84
Brennerei Feller,Germany,24,83,78.15
Brennerei Friz,Germany,1,1,50
Brennerei Grogg,Switzerland,0,0,0
Brennerei Gruel,Germany,22,65,70.35
Brennerei Hack,Germany,3,0,0
Brennerei Henrich,Germany,41,80,71.47
Brennerei Höck,Austria,1,1,60
Brennerei Höhler,Germany,46,59,60.98
Brennerei Hubertus Vallendar GmbH & Co. KG,Germany,3,9,72.28
Brennerei Hübner,Germany,1,1,72
Brennerei Kramer,Switzerland,6,6,78.78
Brennerei L. Psenner,Italy,2,17,67.2
Brennerei Lanz,Switzerland,2,2,77.5
Brennerei Lettner,Germany,2,0,0
Brennerei Liebl,Germany,82,149,70.84
Brennerei Lippert,Germany,2,0,0
Brennerei Ludwig Faber,Germany,1,5,26.33
Brennerei Mühlenthal,Germany,1,0,0
Brennerei Roder,Germany,2,3,75
Brennerei Roman Kraus,Austria,1,0,0
Brennerei Roßmann,Germany,7,5,77.5
Brennerei Schwab,Switzerland,26,17,81.4
Brennerei Sigel,Germany,4,1,38
Brennerei Spielberger,Germany,1,0,0
Brennerei Stalder,Switzerland,1,0,0
Brennerei Stapf,Germany,1,0,0
Brennerei Steinlein,Germany,1,0,0
Brennerei Volker Theurer im Gasthof Lamm,Germany,7,13,76
Brennerei Weippert,Germany,1,0,0
Brennerei Wild,Germany,2,20,72.97
Brennerei Ziegler,Germany,44,322,80.26
Brennerei Zürcher,Switzerland,15,21,80.65
Brennerei-Waldkircher,Germany,3,0,0
BrennerEy,Germany,1,1,70
Breuckelen Distilling,United States,7,12,74.75
Brickway Distillery,United States,1,0,0
Broad Branch Distillery,United States,2,0,0
Broadbent,United States,1,0,0
Bröderna Bommen Bränneri,Sweden,3,2,80
Broger,Austria,13,50,62.8
Broken Bones Whisky,Slovenia,7,1,86
Broombrae Distillery,Scotland,0,0,0
Brora,Scotland,264,9340,89.8
Brother Justus Whiskey Co.,United States,3,0,0
Brouwerij & Alcoholstokerij Wilderen,Belgium,26,59,74.5
Brouwerij de Molen,Netherlands,2,22,60.94
Brouwerij Klein Duimpje,Netherlands,2,4,78.5
Brouwerij Pirlot Stokerij,Belgium,13,45,76
Browar Ciechan,Poland,2,3,70.67
Brown-Forman Distillery,United States,151,344,83.17
Bruckners Erz Bräu,Austria,3,2,76.5
Brugse Whisky Company,Belgium,10,44,86.91
Bruichladdich,Scotland,3362,79418,86.73
Brûlerie du Revermont,France,2,2,75.5
Brunschwiler Brennerei,Switzerland,12,6,75.5
Buffalo Trace Distillery,United States,2535,7162,84.88
Bull Run Distilling Co.,United States,35,4,77.67
Bulleit Distilling Co.,United States,16,509,78.57
Bully Boy Distillers,United States,7,5,83.75
Bunnahabhain,Scotland,3163,55100,86.46
Burgdorfer,Switzerland,8,6,70.17
Burger Hofbrennerei,Germany,2,3,78.33
Burke's Distillery,Ireland,3,0,0
Burnside Distillery,Scotland,0,0,0
Burren Distillers,Ireland,0,0,0
Burwood Distillery,Canada,2,1,64
Bus Whisky Distillers,Netherlands,11,63,81.04
Bushmills,Ireland,419,6449,83.25
C. W. Falckenthal Söhne,Germany,2,0,0
Cadushy Distillery,Netherlands Antilles,3,10,63.92
Caiseal Beer & Spirits Co.,United States,2,0,0
Caldera Distilling,Canada,4,4,77.75
Caledonian,Scotland,94,830,87.26
Caledonian Distillery,Scotland,0,0,0
Cali Distillery,United States,2,0,0
Calvados Pierre HUET,France,0,0,0
Cambus,Scotland,237,1901,86.14
Cameronbridge,Scotland,294,2363,85.58
Camp 1805,United States,2,0,0
Campbeltown Distillery,Scotland,0,0,0
Canadian Mist,Canada,7,48,63.35
Cannon Beach Distillery,United States,0,0,0
Canterbury Brewers & Distillers,United Kingdom,0,0,0
Caol Ila,Scotland,4793,57439,86.81
Cape Clear Distillery,Ireland,0,0,0
Caperdonich,Scotland,529,7617,87.77
Carbon Glacier Distillery,United States,3,0,0
Cardhu,Scotland,180,4232,81.94
Cardrona Distillery,New Zealand,7,34,85.19
Carolina Moon Distillery,United States,3,0,0
Carsebridge,Scotland,107,890,87.88
Cascade Hollow Distillery,United States,91,423,81.54
Cascade Peak Spirits,United States,2,0,0
Castle & Key,United States,2,1,86
Cathead Distillery,United States,4,1,73
Catoctin Creek Distillery,United States,33,93,82.54
Catskill Distilling Company,United States,10,9,79.93
Cave de la Crausaz,Switzerland,4,3,76.75
Cedar Ridge Winery & Distillery,United States,23,52,79.79
Central City Brewers + Distillers,Canada,4,2,83
Central Standard Craft Distillery,United States,1,0,0
ch Distillery,United States,1,0,0
Chambers Bay Distillery,United States,2,0,0
Chankaska Spirits,United States,1,2,83.5
Charbay Distillery & Winery,United States,13,14,86.06
Charles Medley Distillery,United States,38,27,85.14
Charleston Distilling Co.,United States,1,0,0
Chase Distillery,United Kingdom,0,0,0
Chateau du Breuil,France,3,19,78.38
Chattanooga Whiskey,United States,27,5,81.75
Chicago Distilling Co.,United States,1,0,0
Chichibu,Japan,437,5506,88.59
Chicken Cock Distilleries,United States,13,10,73.43
Chicken Hill,Switzerland,15,11,78.56
Chief's Son Distillery,Australia,20,7,82.3
Chita,Japan,31,600,84.85
Chugoku Jozo,Japan,17,397,80.39
Churfirsten Brennerei,Switzerland,1,2,74
Circumstance Distillery,United Kingdom,6,0,0
CIRKA Distilleries,Canada,3,3,85.33
Clara Hof Destillerie,Germany,1,2,68
Clear Creek Distillery,United States,22,110,82.45
Cleveland Whiskey,United States,31,89,82
Cley Distillery,Netherlands,22,94,80.93
Clonakilty Distillery,Ireland,34,165,82.6
Clutha Distillery,Scotland,0,0,0
Clynelish,Scotland,2080,35608,86.84
Coleburn,Scotland,97,1014,86.84
Coleraine Distillery,Ireland,3,10,82.44
Coles Distillery,United Kingdom,3,0,0
Collier and McKeel,United States,2,1,72
Colorado Gold Distillery,United States,4,2,76
Conecuh Ridge Distillery,United States,18,20,79.29
Connacht Distillery,Ireland,15,54,83.58
Continental Distillers,Australia,1,0,0
Convalmore,Scotland,137,1783,87.04
Cooley,Ireland,553,7339,81.66
Cooper King Distillery Ltd.,United Kingdom,8,0,0
Cooperstown Distillery,United States,9,3,72
Copeland Distillery,Ireland,0,0,0
Copenhagen Distillery,Denmark,3,2,89.5
Copper Fiddle Distillery,United States,0,0,0
Copper Fox Distillery,United States,23,90,70.02
Copper Rebublic Distilling,South Africa,1,1,84
Copper Rivet Distillery,United Kingdom,6,25,84.66
Copper Run Distillery,United States,1,0,0
Coppersea Distilling,United States,13,6,82.25
Copperworks Distilling Co.,United States,18,18,84.12
Corby Spirit and Wine Ltd.,Canada,55,556,82.49
Corio,Australia,1,11,86
Cornelius Pass Roadhouse Distillery,United States,2,0,0
Corowa Distilling Co.,Australia,24,3,90.75
Corra Linn Distillery,Australia,4,0,0
Corry (Broadford),Scotland,0,0,0
Corsair Artisan Distillery,United States,47,90,76.96
Cotswolds Distillery,United Kingdom,86,618,82.13
Cradle Mountain,Australia,12,81,84.03
Craft Distillers,United States,10,1,55
Craft Works,Australia,8,1,75
Crafty Distillery,Scotland,0,0,0
Cragganmore,Scotland,705,7485,85.08
Craigellachie,Scotland,1058,9160,84.78
Craywinckelhof,Belgium,0,0,0
Creag Dearg Distillery,Germany,1,3,88
Crooked Water Spirits,United States,6,0,0
Cut Spike Distillery,United States,2,4,85.75
Cutler's Artisan Spirit,United States,2,0,0
Cutwater Spirits,United States,12,5,85.5
Czeglédi Pálinkafőzde,Hungary,1,2,58.5
Czernys Küstendestillerie,Germany,0,0,0
Dà Mhìle Distillery,United Kingdom,14,10,75.5
Dachstein Destillerie Mandlberggut,Austria,7,20,58.88
Daftmill,Scotland,31,1387,88.48
Daill,Scotland,0,0,0
Dailuaine,Scotland,899,9538,85.17
Dakota Spirits Distillery L.L.C.,United States,2,0,0
Dalaruan Distillery,Scotland,4,4,82
Dalintober Distillery,Scotland,0,0,0
Dallas Dhu,Scotland,338,2441,87.81
Dallas Distilleries Inc.,United States,3,3,71.5
Dalmore,Scotland,824,13532,85.4
Dalmunach,Scotland,30,168,84.22
Dalwhinnie,Scotland,174,5750,83.04
Dambachler,Austria,1,0,0
Dancing Cows Distillery,United Kingdom,3,4,84.84
Dancing Goat Distillery,United States,1,0,0
Dancing Pines Distillery,United States,1,1,85
Dark Corner Distillery,United States,6,0,0
Dark Horse Distillery,United States,4,2,80
Dartmoor Whisky Distillery,United Kingdom,16,14,83.07
De Graal,Belgium,4,14,77.03
De Schans,Netherlands,0,0,0
De Tweekoppige Phoenix,Netherlands,6,12,73.33
Deanston,Scotland,447,11615,85.28
Death's Door Distillery,United States,2,2,74
Deception Distilling,United States,1,0,0
Deerhammer,United States,12,0,0
Deheck,Germany,3,1,81
Dehner Distillery,United States,5,0,0
Delaware Phoenix Distillery,United States,5,1,79
Denning's Point Distillery,United States,3,0,0
Destileria Ayutla,Mexico,2,0,0
"Destileria Limtuaco & Co., Inc.",Philippines,6,11,23.11
Destilería y Bodega Abasolo,Mexico,2,10,73.5
"Destilerías Aldea, S.L.",Spain,5,10,79.25
Destilerías Liber,Spain,32,109,82.02
Destilerías Y Crianza,Spain,33,155,73.26
Destilérka Svach,Czech Republic,35,196,83.78
Destillate Siegfried Herzog,Austria,1,3,63.33
Destille Kaltenthaler,Germany,4,6,49.5
Destillerie A. Jobst,Germany,20,32,76.54
Destillerie Borchert,Germany,2,3,84
Destillerie Egnach,Switzerland,3,21,81.81
Destillerie Farthofer,Austria,7,5,73.38
Destillerie Gößwein,Germany,5,7,52
Destillerie Günter Busch,Germany,4,4,82.5
Destillerie Hirtner,Austria,3,1,50
Destillerie Parzmair,Austria,1,0,0
Destillerie Puchas,Austria,2,3,70.5
Destillerie Ralf Hauer,Germany,26,94,84.11
Destillerie Rieger & Hofmeister,Germany,10,1,59
Destillerie Rogner,Austria,11,7,69.1
Destillerie Wilhelm Behr,Germany,2,0,0
Destilleriet Als,Denmark,0,0,0
Destylarnia Piasecki,Poland,1,3,71
Det Norske Brenneri,Norway,11,87,83.23
Detroit City Distillery,United States,8,2,77
Devil's Distillery,Australia,30,8,83.88
Devils River,United States,11,0,0
deVine Spirits,Canada,3,0,0
Didier Barbe Entreprise,France,1,1,81
Die Kleinbrennerei Rackelmann,Germany,2,1,82
Die kleine Destillerie,Germany,7,5,82.4
Diesdorfer,Germany,5,1,70
Dietrich,Austria,1,1,80
Difrulux - Distillerie Luxembourg Sàrl,Luxembourg,0,0,0
Dillon's Small Batch Distillers,Canada,5,4,73.67
Distilleerderij Alambik,Netherlands,11,32,75.03
Distilleerderij De Bronckhorst,Netherlands,6,5,83.34
Distilleerderij De Lepelaar,Netherlands,30,124,78.47
Distilleerderij Horstman,Netherlands,13,33,77.83
Distilleerderij Keuris,Netherlands,1,15,77.67
Distillerie Castan,France,21,29,80.39
Distillerie Charlier & Fils,France,1,0,0
Distillerie Cherry-Rocher,France,2,1,81
Distillerie Claeyssens de Wambrechies,France,10,26,68.54
Distillerie de Bercloux,France,10,11,74.95
Distillerie de Biercée,Belgium,2,7,76.63
Distillerie de la Quintessence,France,1,0,0
Distillerie de Laguiole,France,4,4,81.25
Distillerie de Monsieur Balthazar,France,3,15,71.37
Distillerie de Paris,France,6,7,64.67
Distillerie des Bughes,France,1,0,0
Distillerie des Menhirs,France,20,200,80.55
Distillerie d'Hautefeuille,France,2,1,82
Distillerie Diedenacker,Luxembourg,15,55,77.32
Distillerie d'Isle-de-france,France,0,0,0
Distillerie Dreum,France,1,1,73
Distillerie du Castor,France,1,2,68.5
Distillerie du Pays d'Othe,France,3,6,73
Distillerie du Périgord,France,3,18,73.26
Distillerie du Risoux,Switzerland,1,0,0
Distillerie du St. Laurent,Canada,2,0,0
Distillerie du Vercors,France,6,24,84.63
Distillerie Ergaster,France,5,4,80.5
Distillerie Georges Lacroix,France,1,2,80
Distillerie Grallet-Dupic,France,34,184,80.45
Distillerie Janot,France,2,3,63.67
Distillerie La Roche aux Fées,France,2,3,84.25
Distillerie La Rouget de L'Isle,France,9,16,85.86
Distillerie Lambicool,Belgium,1,4,82
Distillerie Mabillot,France,0,0,0
Distillerie Mavela,France,20,102,71.37
Distillerie Meyer,France,7,49,77.81
Distillerie Moutard,France,3,3,77.67
Distillerie Muller-Lemmer,Luxembourg,4,12,76.21
Distillerie Seetal GmbH,Switzerland,3,0,0
Distillerie Theo Preiss,France,3,4,73.67
Distillerie Turin,France,2,3,84.5
Distillery 291,United States,11,7,80.29
Distillery Krauss,Austria,2,2,82.5
Distillery Krucefix,Slovenia,2,2,42
DIWISA Distillerie Willisau SA,Switzerland,1,1,80
Dixon’s Distilled Spirits,Canada,4,0,0
Do Good Distillery,United States,1,2,78.5
Dobson's,Australia,5,5,78.5
Doc Porter's Distillery,United States,2,17,83.13
Dogfish Head Distillery,United States,3,0,0
Dolleruper Destille,Germany,9,25,69.19
Domaine de Bourjac,France,1,2,71
Domaine des Hautes Glaces,France,43,124,81.15
Don Michael,Peru,1,0,0
Don Quixote Distillery,United States,2,4,79
Donner-Peltier Distillers,United States,2,0,0
Door County Distillery,United States,1,0,0
Dornoch Distillery,Scotland,8,66,84.89
Downslope Distilling,United States,3,0,0
Doz de Dauzanges,France,2,2,65
Dr. Clyde,Belgium,1,0,0
Drentsche Schans,Netherlands,11,86,80.61
Dresdner Whisky Manufaktur,Germany,0,0,0
Drexler,Germany,47,40,72.4
Driftless Glen,United States,11,0,0
Drilling,Germany,1,2,80
Drumlin Distillery,Netherlands,1,0,0
Drumore Distillery,Scotland,0,0,0
Dry County Distillery,United States,4,0,0
Dry Fly Distilling,United States,23,96,81.74
Dubh Glas Distillery,Canada,1,0,0
Dueling Barrels Brewery & Distillery,United States,1,0,0
Dufftown,Scotland,432,4903,84.24
Dumbarton,Scotland,96,604,86.31
Dundalk Distillery,Ireland,0,1,78
Dundashill,Scotland,1,0,0
Durango Craft Spirits,United States,2,2,73
Durham Distillery,United Kingdom,0,0,0
DÜRR Edelbranntweine GmbH,Germany,7,9,81.08
Duvel Moortgat Brouwerij,Belgium,7,85,68.92
Dyrehøj Vingård,Denmark,1,4,74.25
Eagle Distillery,United States,0,0,0
Eaglesburn Distillery,Netherlands,13,109,82.85
East London Liquor Company,United Kingdom,7,14,81.68
Eastside Distilling,United States,21,11,80
Eau Claire Distillery Ltd.,Canada,8,6,81.17
